Date,Open,High,Low,Close,Adj Close,Volume
12/7/2017,14266.10,17899.70,14057.30,17899.70,17899.70,17950699520
12/8/2017,17802.90,18353.40,14336.90,16569.40,16569.40,21135998976
12/9/2017,16523.30,16783.00,13674.90,15178.20,15178.20,13911300096
12/10/2017,15168.40,15850.60,13226.60,15455.40,15455.40,13433299968
12/11/2017,15427.40,17513.90,15404.80,16936.80,16936.80,12153900032
12/12/2017,16919.80,17781.80,16571.60,17415.40,17415.40,14603799552
12/13/2017,17500.00,17653.10,16039.70,16408.20,16408.20,12976900096
12/14/2017,16384.60,17085.80,16185.90,16564.00,16564.00,13777399808
12/15/2017,16601.30,18154.10,16601.30,17706.90,17706.90,14309999616
12/16/2017,17760.30,19716.70,17515.30,19497.40,19497.40,12740599808
12/17/2017,19475.80,20089.00,18974.10,19140.80,19140.80,13314599936
12/18/2017,19106.40,19371.00,18355.90,19114.20,19114.20,14839499776
12/19/2017,19118.30,19177.80,17275.40,17776.70,17776.70,16894499840
12/20/2017,17760.30,17934.70,16077.70,16624.60,16624.60,22149699584
12/21/2017,16642.40,17567.70,15342.70,15802.90,15802.90,16516599808
12/22/2017,15898.00,15943.40,11833.00,13831.80,13831.80,22197999616
12/23/2017,13948.70,15603.20,13828.80,14699.20,14699.20,13086000128
12/24/2017,14608.20,14626.00,12747.70,13925.80,13925.80,11572299776
12/25/2017,13995.90,14593.00,13448.90,14026.60,14026.60,10664699904
12/26/2017,14036.60,16461.20,14028.90,16099.80,16099.80,13454300160
12/27/2017,16163.50,16930.90,15114.30,15838.50,15838.50,12487600128
12/28/2017,15864.10,15888.40,13937.30,14606.50,14606.50,12336499712
12/29/2017,14695.80,15279.00,14307.00,14656.20,14656.20,13025500160
12/30/2017,14681.90,14681.90,12350.10,12952.20,12952.20,14452599808
12/31/2017,12897.70,14377.40,12755.60,14156.40,14156.40,12136299520
1/1/2018,14112.20,14112.20,13154.70,13657.20,13657.20,10291200000
1/2/2018,13625.00,15444.60,13163.60,14982.10,14982.10,16846600192
1/3/2018,14978.20,15572.80,14844.50,15201.00,15201.00,16871900160
1/4/2018,15270.70,15739.70,14522.20,15599.20,15599.20,21783199744
1/5/2018,15477.20,17705.20,15202.80,17429.50,17429.50,23840899072
1/6/2018,17462.10,17712.40,16764.60,17527.00,17527.00,18314600448
1/7/2018,17527.30,17579.60,16087.70,16477.60,16477.60,15866000384
1/8/2018,16476.20,16537.90,14208.20,15170.10,15170.10,18413899776
1/9/2018,15123.70,15497.50,14424.00,14595.40,14595.40,16659999744
1/10/2018,14588.50,14973.30,13691.20,14973.30,14973.30,18500800512
1/11/2018,14968.20,15018.80,13105.90,13405.80,13405.80,16534099968
1/12/2018,13453.90,14229.90,13158.10,13980.60,13980.60,12065699840
1/13/2018,13952.40,14659.50,13952.40,14360.20,14360.20,12763599872
1/14/2018,14370.80,14511.80,13268.00,13772.00,13772.00,11084099584
1/15/2018,13767.30,14445.50,13641.70,13819.80,13819.80,12750799872
1/16/2018,13836.10,13843.10,10194.90,11490.50,11490.50,18853799936
1/17/2018,11431.10,11678.00,9402.29,11188.60,11188.60,18830600192
1/18/2018,11198.80,12107.30,10942.50,11474.90,11474.90,15020399616
1/19/2018,11429.80,11992.80,11172.10,11607.40,11607.40,10740400128
1/20/2018,11656.20,13103.00,11656.20,12899.20,12899.20,11801700352
1/21/2018,12889.20,12895.90,11288.20,11600.10,11600.10,9935179776
1/22/2018,11633.10,11966.40,10240.20,10931.40,10931.40,10537400320
1/23/2018,10944.50,11377.60,10129.70,10868.40,10868.40,9660609536
1/24/2018,10903.40,11501.40,10639.80,11359.40,11359.40,9940989952
1/25/2018,11421.70,11785.70,11057.40,11259.40,11259.40,8873169920
1/26/2018,11256.00,11656.70,10470.30,11171.40,11171.40,9746199552
1/27/2018,11174.90,11614.90,10989.20,11440.70,11440.70,7583269888
1/28/2018,11475.30,12040.30,11475.30,11786.30,11786.30,8350360064
1/29/2018,11755.50,11875.60,11179.20,11296.40,11296.40,7107359744
1/30/2018,11306.80,11307.20,10036.20,10106.30,10106.30,8637859840
1/31/2018,10108.20,10381.60,9777.42,10221.10,10221.10,8041160192
2/1/2018,10237.30,10288.80,8812.28,9170.54,9170.54,9959400448
2/2/2018,9142.28,9142.28,7796.49,8830.75,8830.75,12726899712
2/3/2018,8852.12,9430.75,8251.63,9174.91,9174.91,7263790080
2/4/2018,9175.70,9334.87,8031.22,8277.01,8277.01,7073549824
2/5/2018,8270.54,8364.84,6756.68,6955.27,6955.27,9285289984
2/6/2018,7051.75,7850.70,6048.26,7754.00,7754.00,13999800320
2/7/2018,7755.49,8509.11,7236.79,7621.30,7621.30,9169280000
2/8/2018,7637.86,8558.77,7637.86,8265.59,8265.59,9346750464
2/9/2018,8271.84,8736.98,7884.71,8736.98,8736.98,6784820224
2/10/2018,8720.08,9122.55,8295.47,8621.90,8621.90,7780960256
2/11/2018,8616.13,8616.13,7931.10,8129.97,8129.97,6122189824
2/12/2018,8141.43,8985.92,8141.43,8926.57,8926.57,6256439808
2/13/2018,8926.72,8958.47,8455.41,8598.31,8598.31,5696719872
2/14/2018,8599.92,9518.54,8599.92,9494.63,9494.63,7909819904
2/15/2018,9488.32,10234.80,9395.58,10166.40,10166.40,9062540288
2/16/2018,10135.70,10324.10,9824.82,10233.90,10233.90,7296159744
2/17/2018,10207.50,11139.50,10149.40,11112.70,11112.70,8660880384
2/18/2018,11123.40,11349.80,10326.00,10551.80,10551.80,8744009728
2/19/2018,10552.60,11273.80,10513.20,11225.30,11225.30,7652089856
2/20/2018,11231.80,11958.50,11231.80,11403.70,11403.70,9926540288
2/21/2018,11372.20,11418.50,10479.10,10690.40,10690.40,9405339648
2/22/2018,10660.40,11039.10,9939.09,10005.00,10005.00,8040079872
2/23/2018,9937.07,10487.30,9734.56,10301.10,10301.10,7739500032
2/24/2018,10287.70,10597.20,9546.97,9813.07,9813.07,6917929984
2/25/2018,9796.42,9923.22,9407.06,9664.73,9664.73,5706939904
2/26/2018,9669.43,10475.00,9501.73,10366.70,10366.70,7287690240
2/27/2018,10393.90,10878.50,10246.10,10725.60,10725.60,6966179840
2/28/2018,10687.20,11089.80,10393.10,10397.90,10397.90,6936189952
3/1/2018,10385.00,11052.30,10352.70,10951.00,10951.00,7317279744
3/2/2018,10977.40,11189.00,10850.10,11086.40,11086.40,7620590080
3/3/2018,11101.90,11528.20,11002.40,11489.70,11489.70,6690570240
3/4/2018,11497.40,11512.60,11136.10,11512.60,11512.60,6084149760
3/5/2018,11532.40,11704.10,11443.90,11573.30,11573.30,6468539904
3/6/2018,11500.10,11500.10,10694.30,10779.90,10779.90,6832169984
3/7/2018,10803.90,10929.50,9692.12,9965.57,9965.57,8797910016
3/8/2018,9951.44,10147.40,9335.87,9395.01,9395.01,7186089984
3/9/2018,9414.69,9466.35,8513.03,9337.55,9337.55,8704190464
3/10/2018,9350.59,9531.32,8828.47,8866.00,8866.00,5386319872
3/11/2018,8852.78,9711.89,8607.12,9578.63,9578.63,6296370176
3/12/2018,9602.93,9937.50,8956.43,9205.12,9205.12,6457399808
3/13/2018,9173.04,9470.38,8958.19,9194.85,9194.85,5991139840
3/14/2018,9214.65,9355.85,8068.59,8269.81,8269.81,6438230016
3/15/2018,8290.76,8428.35,7783.05,8300.86,8300.86,6834429952
3/16/2018,8322.91,8585.15,8005.31,8338.35,8338.35,5289379840
3/17/2018,8321.91,8346.53,7812.82,7916.88,7916.88,4426149888
3/18/2018,7890.52,8245.51,7397.99,8223.68,8223.68,6639190016
3/19/2018,8344.12,8675.87,8182.40,8630.65,8630.65,6729110016
3/20/2018,8619.67,9051.02,8389.89,8913.47,8913.47,6361789952
3/21/2018,8937.48,9177.37,8846.33,8929.28,8929.28,6043129856
3/22/2018,8939.44,9100.71,8564.90,8728.47,8728.47,5530390016
3/23/2018,8736.25,8879.62,8360.62,8879.62,8879.62,5954120192
3/24/2018,8901.95,8996.18,8665.70,8668.12,8668.12,5664600064
3/25/2018,8612.81,8682.01,8449.10,8495.78,8495.78,4569880064
3/26/2018,8498.47,8530.08,7921.43,8209.40,8209.40,5921039872
3/27/2018,8200.00,8232.78,7797.28,7833.04,7833.04,5378250240
3/28/2018,7836.83,8122.89,7809.17,7954.48,7954.48,4935289856
3/29/2018,7979.07,7994.33,7081.38,7165.70,7165.70,6361229824
3/30/2018,7171.45,7276.66,6683.93,6890.52,6890.52,6289509888
3/31/2018,6892.48,7207.85,6863.52,6973.53,6973.53,4553269760
4/1/2018,7003.06,7060.95,6526.87,6844.23,6844.23,4532100096
4/2/2018,6844.86,7135.47,6816.58,7083.80,7083.80,4333440000
4/3/2018,7102.26,7530.94,7072.49,7456.11,7456.11,5499700224
4/4/2018,7456.41,7469.88,6803.88,6853.84,6853.84,4936000000
4/5/2018,6848.65,6933.82,6644.80,6811.47,6811.47,5639320064
4/6/2018,6815.96,6857.49,6575.00,6636.32,6636.32,3766810112
4/7/2018,6630.51,7050.54,6630.51,6911.09,6911.09,3976610048
4/8/2018,6919.98,7111.56,6919.98,7023.52,7023.52,3652499968
4/9/2018,7044.32,7178.11,6661.99,6770.73,6770.73,4894060032
4/10/2018,6795.44,6872.41,6704.15,6834.76,6834.76,4272750080
4/11/2018,6843.47,6968.32,6817.59,6968.32,6968.32,4641889792
4/12/2018,6955.38,7899.23,6806.51,7889.25,7889.25,8906250240
4/13/2018,7901.09,8183.96,7758.93,7895.96,7895.96,7764460032
4/14/2018,7874.67,8140.71,7846.00,7986.24,7986.24,5191430144
4/15/2018,7999.33,8338.42,7999.33,8329.11,8329.11,5244480000
4/16/2018,8337.57,8371.15,7925.73,8058.67,8058.67,5631309824
4/17/2018,8071.66,8285.96,7881.72,7902.09,7902.09,6900879872
4/18/2018,7944.43,8197.80,7886.01,8163.42,8163.42,6529909760
4/19/2018,8159.27,8298.69,8138.78,8294.31,8294.31,7063209984
4/20/2018,8286.88,8880.23,8244.54,8845.83,8845.83,8438110208
4/21/2018,8848.79,8997.57,8652.15,8895.58,8895.58,7548550144
4/22/2018,8925.06,9001.64,8779.61,8802.46,8802.46,6629899776
4/23/2018,8794.39,8958.55,8788.81,8930.88,8930.88,6925190144
4/24/2018,8934.34,9732.61,8927.83,9697.50,9697.50,10678800384
4/25/2018,9701.03,9745.32,8799.84,8845.74,8845.74,11083100160
4/26/2018,8867.32,9281.51,8727.09,9281.51,9281.51,8970559488
4/27/2018,9290.63,9375.47,8987.05,8987.05,8987.05,7566289920
4/28/2018,8939.27,9412.09,8931.99,9348.48,9348.48,7805479936
4/29/2018,9346.41,9531.49,9193.71,9419.08,9419.08,8853000192
4/30/2018,9426.11,9477.14,9166.81,9240.55,9240.55,8673920000
5/1/2018,9251.47,9255.88,8891.05,9119.01,9119.01,7713019904
5/2/2018,9104.60,9256.52,9015.14,9235.92,9235.92,7558159872
5/3/2018,9233.97,9798.33,9188.15,9743.86,9743.86,10207299584
5/4/2018,9695.50,9779.20,9585.96,9700.76,9700.76,8217829888
5/5/2018,9700.28,9964.50,9695.12,9858.15,9858.15,7651939840
5/6/2018,9845.31,9940.14,9465.25,9654.80,9654.80,7222280192
5/7/2018,9645.67,9665.85,9231.53,9373.01,9373.01,7394019840
5/8/2018,9380.87,9462.75,9127.77,9234.82,9234.82,7415869952
5/9/2018,9223.73,9374.76,9031.62,9325.18,9325.18,7226890240
5/10/2018,9325.96,9396.04,9040.52,9043.94,9043.94,6906699776
5/11/2018,9052.96,9052.96,8394.46,8441.49,8441.49,8488520192
5/12/2018,8441.44,8664.86,8223.50,8504.89,8504.89,6821380096
5/13/2018,8515.49,8773.55,8395.12,8723.94,8723.94,5866379776
5/14/2018,8713.10,8881.12,8367.97,8716.79,8716.79,7364149760
5/15/2018,8705.19,8836.19,8456.45,8510.38,8510.38,6705710080
5/16/2018,8504.41,8508.43,8175.49,8368.83,8368.83,6760220160
5/17/2018,8370.05,8445.54,8054.12,8094.32,8094.32,5862530048
5/18/2018,8091.83,8274.12,7974.82,8250.97,8250.97,5764190208
5/19/2018,8255.73,8372.06,8183.35,8247.18,8247.18,4712399872
5/20/2018,8246.99,8562.41,8205.24,8513.25,8513.25,5191059968
5/21/2018,8522.33,8557.52,8365.12,8418.99,8418.99,5154990080
5/22/2018,8419.87,8423.25,8004.58,8041.78,8041.78,5137010176
5/23/2018,8037.08,8054.66,7507.88,7557.82,7557.82,6491120128
5/24/2018,7561.12,7738.60,7331.14,7587.34,7587.34,6049220096
5/25/2018,7592.30,7659.14,7392.65,7480.14,7480.14,4867829760
5/26/2018,7486.48,7595.16,7349.12,7355.88,7355.88,4051539968
5/27/2018,7362.08,7381.74,7270.96,7368.22,7368.22,4056519936
5/28/2018,7371.31,7419.05,7100.89,7135.99,7135.99,5040600064
5/29/2018,7129.46,7526.42,7090.68,7472.59,7472.59,5662660096
5/30/2018,7469.73,7573.77,7313.60,7406.52,7406.52,4922540032
5/31/2018,7406.15,7608.90,7361.13,7494.17,7494.17,5127130112
6/1/2018,7500.70,7604.73,7407.34,7541.45,7541.45,4921460224
6/2/2018,7536.72,7695.83,7497.26,7643.45,7643.45,4939299840
6/3/2018,7632.09,7754.89,7613.04,7720.25,7720.25,4851760128
6/4/2018,7722.53,7753.82,7474.04,7514.47,7514.47,4993169920
6/5/2018,7500.90,7643.23,7397.00,7633.76,7633.76,4961739776
6/6/2018,7625.97,7680.43,7502.01,7653.98,7653.98,4692259840
6/7/2018,7650.82,7741.27,7650.82,7678.24,7678.24,4485799936
6/8/2018,7685.14,7698.19,7558.40,7624.92,7624.92,4227579904
6/9/2018,7632.52,7683.58,7531.98,7531.98,7531.98,3845220096
6/10/2018,7499.55,7499.55,6709.07,6786.02,6786.02,5804839936
6/11/2018,6799.29,6910.18,6706.63,6906.92,6906.92,4745269760
6/12/2018,6905.82,6907.96,6542.08,6582.36,6582.36,4654380032
6/13/2018,6596.88,6631.66,6285.63,6349.90,6349.90,5052349952
6/14/2018,6342.75,6707.14,6334.46,6675.35,6675.35,5138710016
6/15/2018,6674.08,6681.08,6433.87,6456.58,6456.58,3955389952
6/16/2018,6455.45,6592.49,6402.29,6550.16,6550.16,3194170112
6/17/2018,6545.53,6589.11,6499.27,6499.27,6499.27,3104019968
6/18/2018,6510.07,6781.14,6446.68,6734.82,6734.82,4039200000
6/19/2018,6742.39,6822.50,6709.92,6769.94,6769.94,4057029888
6/20/2018,6770.76,6821.56,6611.88,6776.55,6776.55,3888640000
6/21/2018,6780.09,6810.94,6715.17,6729.74,6729.74,3529129984
6/22/2018,6737.88,6747.08,6006.60,6083.69,6083.69,5079810048
6/23/2018,6090.10,6224.82,6071.81,6162.48,6162.48,3431360000
6/24/2018,6164.28,6223.78,5826.41,6173.23,6173.23,4566909952
6/25/2018,6171.97,6327.37,6119.68,6249.18,6249.18,5500810240
6/26/2018,6253.55,6290.16,6093.67,6093.67,6093.67,3279759872
6/27/2018,6084.40,6180.00,6052.85,6157.13,6157.13,3296219904
6/28/2018,6153.16,6170.41,5873.05,5903.44,5903.44,3467800064
6/29/2018,5898.13,6261.66,5835.75,6218.30,6218.30,3966230016
6/30/2018,6214.22,6465.51,6214.22,6404.00,6404.00,4543860224
7/1/2018,6411.68,6432.85,6289.29,6385.82,6385.82,4788259840
7/2/2018,6380.38,6683.86,6305.70,6614.18,6614.18,4396930048
7/3/2018,6596.66,6671.37,6447.75,6529.59,6529.59,4672309760
7/4/2018,6550.87,6771.92,6450.46,6597.55,6597.55,4176689920
7/5/2018,6599.71,6749.54,6546.65,6639.14,6639.14,4999240192
7/6/2018,6638.69,6700.94,6533.55,6673.50,6673.50,4313959936
7/7/2018,6668.71,6863.99,6579.24,6856.93,6856.93,3961080064
7/8/2018,6857.80,6885.91,6747.98,6773.88,6773.88,3386210048
7/9/2018,6775.08,6838.68,6724.34,6741.75,6741.75,3718129920
7/10/2018,6739.21,6767.74,6320.72,6329.95,6329.95,4052430080
7/11/2018,6330.77,6444.96,6330.47,6394.71,6394.71,3644859904
7/12/2018,6396.78,6397.10,6136.42,6228.81,6228.81,3770170112
7/13/2018,6235.03,6310.55,6192.24,6238.05,6238.05,3805400064
7/14/2018,6247.50,6298.19,6212.22,6276.12,6276.12,2923670016
7/15/2018,6272.70,6403.46,6256.51,6359.64,6359.64,3285459968
7/16/2018,6357.01,6741.75,6357.01,6741.75,6741.75,4725799936
7/17/2018,6739.65,7387.24,6684.17,7321.04,7321.04,5961950208
7/18/2018,7315.32,7534.99,7280.47,7370.78,7370.78,6103410176
7/19/2018,7378.20,7494.46,7295.46,7466.86,7466.86,5111629824
7/20/2018,7467.40,7594.67,7323.26,7354.13,7354.13,4936869888
7/21/2018,7352.72,7437.64,7262.41,7419.29,7419.29,3726609920
7/22/2018,7417.80,7537.95,7383.82,7418.49,7418.49,3695460096
7/23/2018,7414.71,7771.50,7409.10,7711.11,7711.11,5132480000
7/24/2018,7716.51,8424.27,7705.50,8424.27,8424.27,7277689856
7/25/2018,8379.66,8416.87,8086.36,8181.39,8181.39,5845400064
7/26/2018,8176.85,8290.33,7878.71,7951.58,7951.58,4899089920
7/27/2018,7950.40,8262.66,7839.76,8165.01,8165.01,5195879936
7/28/2018,8169.06,8222.85,8110.77,8192.15,8192.15,3988750080
7/29/2018,8205.82,8272.26,8141.18,8218.46,8218.46,4107190016
7/30/2018,8221.58,8235.50,7917.50,8180.48,8180.48,5551400000
7/31/2018,8181.20,8181.53,7696.93,7780.44,7780.44,5287530000
8/1/2018,7769.04,7769.04,7504.95,7624.91,7624.91,4797620000
8/2/2018,7634.19,7712.77,7523.44,7567.15,7567.15,4214110000
8/3/2018,7562.14,7562.14,7328.65,7434.39,7434.39,4627150000
8/4/2018,7438.67,7497.49,6984.07,7032.85,7032.85,4268390000
8/5/2018,7031.08,7102.77,6940.70,7068.48,7068.48,3679110000
8/6/2018,7062.94,7166.55,6890.54,6951.80,6951.80,3925900000
8/7/2018,6958.32,7146.56,6748.24,6753.12,6753.12,4682800000
8/8/2018,6746.85,6746.85,6226.22,6305.80,6305.80,5064430000
8/9/2018,6305.56,6625.73,6249.07,6568.23,6568.23,4267040000
8/10/2018,6571.42,6591.26,6124.52,6184.71,6184.71,4528680000
8/11/2018,6185.79,6455.74,6109.03,6295.73,6295.73,4047850000
8/12/2018,6283.65,6409.85,6237.50,6322.69,6322.69,5665250000
8/13/2018,6341.36,6537.05,6225.72,6297.57,6297.57,4083980000
8/14/2018,6287.66,6287.94,5971.05,6199.71,6199.71,5301700000
8/15/2018,6221.42,6588.49,6221.42,6308.52,6308.52,4895450000
8/16/2018,6294.23,6473.50,6276.41,6334.73,6334.73,4328420000
8/17/2018,6340.91,6582.50,6324.97,6580.63,6580.63,4992990000
8/18/2018,6583.43,6617.35,6353.73,6423.76,6423.76,3984520000
8/19/2018,6422.57,6537.98,6361.55,6506.07,6506.07,3311170000
8/20/2018,6500.51,6536.92,6297.93,6308.53,6308.53,3665100000
8/21/2018,6301.07,6500.87,6298.24,6488.76,6488.76,3377180000
